country,continent,year,lifeExp,pop,gdpPercap,fert,mort
Central African Republic,Africa,1992,49.396,3265124,747.9055252,5.69,115.1
Central African Republic,Africa,1997,46.066,3696513,740.5063317,5.55,115.1
Central African Republic,Africa,2002,43.308,4048013,738.6906068,5.33,112.1
Central African Republic,Africa,2007,44.741,4369038,706.016537,4.9,106.9
Chad,Africa,1952,38.092,2682462,1178.665927,6.09,NA
Chad,Africa,1957,39.881,2894855,1308.495577,6.19,NA
Chad,Africa,1962,41.716,3150417,1389.817618,6.29,NA
Chad,Africa,1967,43.601,3495967,1196.810565,6.39,NA
Chad,Africa,1972,45.569,3899068,1104.103987,6.64,131.8
Chad,Africa,1977,47.383,4388260,1133.98495,6.86,128.8
Chad,Africa,1982,49.517,4875118,797.9081006,7.02,124.8
Chad,Africa,1987,51.051,5498955,952.386129,7.2,119.3
Chad,Africa,1992,51.724,6429417,1058.0643,7.38,113.7
Chad,Africa,1997,51.573,7562011,1004.961353,7.42,109.1
Chad,Africa,2002,50.525,8835739,1156.18186,7.27,103.4
Chad,Africa,2007,50.651,10238807,1704.063724,6.9,98.1
Chile,Americas,1952,54.745,6377619,3939.978789,4.88,138.2
Chile,Americas,1957,56.074,7048426,4315.622723,5.49,117.1
Chile,Americas,1962,57.924,7961258,4519.094331,5.46,116.7
Chile,Americas,1967,60.523,8858908,5106.654313,4.59,79
Chile,Americas,1972,63.441,9717524,5494.024437,3.68,65.7
Chile,Americas,1977,67.052,10599793,4756.763836,2.89,41.7
Chile,Americas,1982,70.565,11487112,5095.665738,2.65,22.9
Chile,Americas,1987,72.492,12463354,5547.063754,2.65,18.4
Chile,Americas,1992,74.126,13572994,7596.125964,2.56,13.7
Chile,Americas,1997,75.816,14599929,10118.05318,2.25,10.2
Chile,Americas,2002,77.86,15497046,10778.78385,2.01,8.3
Chile,Americas,2007,78.553,16284741,13171.63885,1.9,7.6
China,Asia,1952,44,556263527,400.448611,5.97,NA
China,Asia,1957,50.54896,637408000,575.9870009,6.21,NA
China,Asia,1962,44.50136,665770000,487.6740183,5.97,110
China,Asia,1967,58.38112,754550000,612.7056934,5.25,NA
China,Asia,1972,63.11888,862030000,676.9000921,4.92,73.3
China,Asia,1977,63.96736,943455000,741.2374699,2.87,55.8
China,Asia,1982,65.525,1000281000,962.4213805,2.62,44.6
China,Asia,1987,67.274,1084035000,1378.904018,2.68,42
China,Asia,1992,68.69,1164970000,1655.784158,2.11,41.2
China,Asia,1997,70.426,1230075000,2289.234136,1.52,35
China,Asia,2002,72.028,1280400000,3119.280896,1.47,26.2
China,Asia,2007,72.961,1318683096,4959.114854,1.53,17.2
Colombia,Americas,1952,50.643,12350771,2144.115096,6.76,111
Colombia,Americas,1957,55.118,14485993,2323.805581,6.78,100
Colombia,Americas,1962,57.863,17009885,2492.351109,6.78,85.9
Colombia,Americas,1967,59.963,19764027,2678.729839,6.25,77.1
Colombia,Americas,1972,61.623,22542890,3264.660041,5.15,65.9
Colombia,Americas,1977,63.837,25094412,3815.80787,4.37,52.8
Colombia,Americas,1982,66.653,27764644,4397.575659,3.74,39.7
Colombia,Americas,1987,67.768,30964245,4903.2191,3.28,31.5
Colombia,Americas,1992,68.421,34202721,5444.648617,3.01,27.4
Colombia,Americas,1997,70.313,37657830,6117.361746,2.78,23.4
Colombia,Americas,2002,71.682,41008227,5755.259962,2.57,20
Colombia,Americas,2007,72.889,44227550,7006.580419,2.45,17.3
Comoros,Africa,1952,40.715,153936,1102.990936,5.93,NA
Comoros,Africa,1957,42.46,170928,1211.148548,6.56,NA
Comoros,Africa,1962,44.467,191689,1406.648278,6.9,NA
Comoros,Africa,1967,46.472,217378,1876.029643,7.04,NA
Comoros,Africa,1972,48.944,250027,1937.577675,7.06,145.1
Comoros,Africa,1977,50.939,304739,1172.603047,7.08,129.6
Comoros,Africa,1982,52.933,348643,1267.100083,7.03,111.9
Comoros,Africa,1987,54.926,395114,1315.980812,6.14,95.8
Comoros,Africa,1992,57.939,454429,1246.90737,5.36,82.9
Comoros,Africa,1997,60.66,527982,1173.618235,5.27,74.5
Comoros,Africa,2002,62.974,614382,1075.811558,5.3,72.5
Comoros,Africa,2007,65.152,710960,986.1478792,5.11,67.9
"Congo, Dem. Rep.",Africa,1952,39.143,14100005,780.5423257,5.98,NA
"Congo, Dem. Rep.",Africa,1957,40.652,15577932,905.8602303,5.98,NA
"Congo, Dem. Rep.",Africa,1962,42.122,17486434,896.3146335,6.03,NA
"Congo, Dem. Rep.",Africa,1967,44.056,19941073,861.5932424,6.14,NA
"Congo, Dem. Rep.",Africa,1972,45.989,23007669,904.8960685,6.27,145.9
"Congo, Dem. Rep.",Africa,1977,47.804,26480870,795.757282,6.44,137.1
"Congo, Dem. Rep.",Africa,1982,47.784,30646495,673.7478181,6.69,129
"Congo, Dem. Rep.",Africa,1987,47.412,35481645,672.774812,6.96,122.9
"Congo, Dem. Rep.",Africa,1992,45.548,41672143,457.7191807,7.22,117.7
"Congo, Dem. Rep.",Africa,1997,42.587,47798986,312.188423,7.23,112.5
"Congo, Dem. Rep.",Africa,2002,44.966,55379852,241.1658765,6.96,103.1
"Congo, Dem. Rep.",Africa,2007,46.462,64606759,277.5518587,6.55,91.5
"Congo, Rep.",Africa,1952,42.111,854885,2125.621418,5.68,NA
"Congo, Rep.",Africa,1957,45.053,940458,2315.056572,5.77,NA
"Congo, Rep.",Africa,1962,48.435,1047924,2464.783157,5.97,106.1
"Congo, Rep.",Africa,1967,52.04,1179760,2677.939642,6.17,94.9
"Congo, Rep.",Africa,1972,54.907,1340458,3213.152683,6.3,84.4
"Congo, Rep.",Africa,1977,55.625,1536769,3259.178978,6.3,76
"Congo, Rep.",Africa,1982,56.695,1774735,4879.507522,6.04,68
"Congo, Rep.",Africa,1987,57.47,2064095,4201.194937,5.59,60.9
"Congo, Rep.",Africa,1992,56.433,2409073,4016.239529,5.24,63
"Congo, Rep.",Africa,1997,52.962,2800947,3484.164376,5.14,73.5
"Congo, Rep.",Africa,2002,52.97,3328795,3484.06197,5.13,73.3
"Congo, Rep.",Africa,2007,55.322,3800610,3632.557798,5.11,53.1
Costa Rica,Americas,1952,57.206,926317,2627.009471,6.68,NA
Costa Rica,Americas,1957,60.026,1112300,2990.010802,7.14,96.388712004122
Costa Rica,Americas,1962,62.842,1345187,3460.937025,7.22,80.642800863465
Costa Rica,Americas,1967,65.424,1588717,4161.727834,6,64.6
Costa Rica,Americas,1972,67.849,1834796,5118.146939,4.49,52.5
Costa Rica,Americas,1977,70.75,2108457,5926.876967,3.78,28.1
Costa Rica,Americas,1982,73.45,2424367,5262.734751,3.54,19.2
Costa Rica,Americas,1987,74.752,2799811,5629.915318,3.38,16.3
Costa Rica,Americas,1992,75.713,3173216,6160.416317,3,13.7
Costa Rica,Americas,1997,77.26,3518107,6677.045314,2.62,12.7
Costa Rica,Americas,2002,78.123,3834934,7723.447195,2.28,10
Costa Rica,Americas,2007,78.782,4133884,9645.06142,1.95,8.9
Cote d'Ivoire,Africa,1952,40.477,2977019,1388.594732,6.74,NA
Cote d'Ivoire,Africa,1957,42.469,3300000,1500.895925,7.12,225.6
Cote d'Ivoire,Africa,1962,44.93,3832408,1728.869428,7.5,197.7
Cote d'Ivoire,Africa,1967,47.35,4744870,2052.050473,7.81,174.2
Cote d'Ivoire,Africa,1972,49.801,6071696,2378.201111,7.94,151.3
Cote d'Ivoire,Africa,1977,52.374,7459574,2517.736547,7.84,124.7
Cote d'Ivoire,Africa,1982,53.983,9025951,2602.710169,7.38,109.5
Cote d'Ivoire,Africa,1987,54.655,10761098,2156.956069,6.75,105.2
Cote d'Ivoire,Africa,1992,52.044,12772596,1648.073791,6.11,104.7
Cote d'Ivoire,Africa,1997,47.991,14625967,1786.265407,5.63,103.3
Cote d'Ivoire,Africa,2002,46.832,16252726,1648.800823,5.21,95.7
Cote d'Ivoire,Africa,2007,48.328,18013409,1544.750112,4.93,84.1
Croatia,Europe,1952,61.21,3882229,3119.23652,2.8,NA
Croatia,Europe,1957,64.77,3991242,4338.231617,2.45,NA
Croatia,Europe,1962,67.13,4076557,5477.890018,2.27,NA
Croatia,Europe,1967,68.5,4174366,6960.297861,2.1,NA
Croatia,Europe,1972,69.61,4225310,9164.090127,1.98,NA
Croatia,Europe,1977,70.64,4318673,11305.38517,2.01,NA
Croatia,Europe,1982,70.46,4413368,13221.82184,1.98,18.4
Croatia,Europe,1987,71.52,4484310,13822.58394,1.84,13.8
Croatia,Europe,1992,72.527,4494013,8447.794873,1.57,9.9
Croatia,Europe,1997,73.68,4444595,9875.604515,1.51,8
Croatia,Europe,2002,74.876,4481020,11628.38895,1.39,6.6
Croatia,Europe,2007,75.748,4493312,14619.22272,1.41,5.3
Cuba,Americas,1952,59.421,6007797,5586.53878,4.22,38
Cuba,Americas,1957,62.325,6640752,6092.174359,3.72,37
Cuba,Americas,1962,65.246,7254373,5180.75591,4.51,NA
Cuba,Americas,1967,68.29,8139332,5690.268015,4.43,39.3
Cuba,Americas,1972,70.723,8831348,5305.445256,3.65,30.9
Cuba,Americas,1977,72.649,9537988,6380.494966,2.33,20.8
Cuba,Americas,1982,73.717,9789224,7316.918107,1.83,16.3
Cuba,Americas,1987,74.174,10239839,7532.924763,1.83,13.3
Cuba,Americas,1992,74.414,10723260,5592.843963,1.68,9.3
Cuba,Americas,1997,76.151,10983007,5431.990415,1.61,7.8
Cuba,Americas,2002,77.158,11226999,6340.646683,1.62,5.9
Cuba,Americas,2007,78.273,11416987,8948.102923,1.52,4.8
Czech Republic,Europe,1952,66.87,9125183,6876.14025,2.71,NA
Czech Republic,Europe,1957,69.03,9513758,8256.343918,2.4,NA
Czech Republic,Europe,1962,69.9,9620282,10136.86713,2.23,NA
Czech Republic,Europe,1967,70.38,9835109,11399.44489,2,NA
Czech Republic,Europe,1972,70.29,9862158,13108.4536,2.15,NA
Czech Republic,Europe,1977,70.71,10161915,14800.16062,2.3,NA
Czech Republic,Europe,1982,70.96,10303704,15377.22855,2.07,16
